Date,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft
2004-07,694.8,334.3953488372093,222.57894736842104,301.20338983050846,246.20833333333334
2004-08,707.04,340.6046511627907,224.68421052631578,306.66101694915255,248.625
2004-09,722.08,348.13953488372096,227.21052631578948,312.23728813559325,251.39583333333334
2004-10,738.36,356.51162790697674,230.6315789473684,317.6101694915254,254.54166666666666
2004-11,754.52,365.0,233.94736842105263,323.23728813559325,257.875
2004-12,771.2,373.0232558139535,237.78947368421052,328.7118644067797,261.6041666666667
2005-01,788.32,380.06976744186045,241.52631578947367,332.864406779661,265.6041666666667
2005-02,805.44,386.6744186046512,245.21052631578948,335.8135593220339,269.625
2005-03,822.76,393.72093023255815,249.10526315789474,338.6779661016949,273.875
2005-04,839.4,400.69767441860466,253.05263157894737,341.8474576271187,278.125
2005-05,854.28,407.3488372093023,257.10526315789474,345.8474576271187,282.0416666666667
2005-06,867.32,413.9767441860465,260.7894736842105,350.3220338983051,285.75
2005-07,879.24,420.74418604651163,264.4736842105263,355.40677966101697,289.4583333333333
2005-08,890.92,428.0,267.7368421052632,360.6101694915254,292.7708333333333
2005-09,903.56,435.25581395348837,270.94736842105266,366.23728813559325,295.9583333333333
2005-10,917.64,441.5813953488372,274.05263157894734,371.9830508474576,299.125
2005-11,932.72,447.2093023255814,277.36842105263156,378.3898305084746,301.8958333333333
2005-12,947.92,451.69767441860466,280.7368421052632,384.7118644067797,304.0625
2006-01,961.4,454.8837209302326,283.7894736842105,389.93220338983053,306.0
2006-02,971.68,456.8139534883721,286.1578947368421,393.52542372881356,307.3958333333333
2006-03,979.0,458.72093023255815,288.2105263157895,396.4237288135593,308.5833333333333
2006-04,983.68,461.27906976744185,290.2105263157895,399.5593220338983,309.7708333333333
2006-05,984.72,464.4651162790698,292.1578947368421,403.0508474576271,310.5833333333333
2006-06,981.48,467.90697674418607,294.05263157894734,406.47457627118644,311.3125
2006-07,972.76,471.27906976744185,295.63157894736844,409.20338983050846,311.7916666666667
2006-08,960.16,474.16279069767444,297.0,411.0,312.2083333333333
2006-09,947.76,476.13953488372096,298.3157894736842,411.135593220339,312.4791666666667
2006-10,940.56,476.83720930232556,299.7894736842105,409.4237288135593,312.7708333333333
